NOIID,FacilityId,ComplianceId,Issue / Comment,NOIDueDate,NOIResolved,StampInit,StampDate
1,9100017,4,need notification explaining what happened to the used oil tank  ,2000-06-21,True,NOI,2001-04-09 11:50:54
2,9100017,4,need to provide followup documentation documenting what happened on 1/7/2000 explaining the gross fail/sudden loss for unleaded (UST2) and diesel (UST 4)  ,2000-06-02,True,NOI,2001-04-09 11:50:54
3,9100017,4,provie verfication of the tank's piping material  ,2000-06-21,True,NOI,2001-04-09 11:50:54
4,9100017,4,need to submit the manfu maintenance schedule for work done on 10/18/1999  ,2000-06-21,False,NOI,2001-04-09 11:50:54
5,9100017,4,need attachment showing the tanks that aare covered by TOSCO fin resp document  ,2000-06-21,False,NOI,2001-04-09 11:50:54
6,9100017,4,need to provixde certification stating that the tanks spill buckets have been cleaned  ,2000-06-21,False,NOI,2001-04-09 11:50:54
7,9100017,4,need to document and mainta8n records of all work done to your vrtls350  ,,False,NOI,2001-04-09 11:50:54
8,9100017,4,NEEd TO MONITOR YOUR UST SYSTEM EVERY 30 DAys  ,,False,NOI,2001-04-09 11:50:54
9,9100017,5,need notification explaining what happened to the used oil tank  ,2000-06-21,True,NOI,2001-04-09 11:50:54
10,9100017,5,need to provide followup documentation documenting what happened on 1/7/2000 explaining the gross fail/sudden loss for unleaded (UST2) and diesel (UST 4)  ,2000-06-02,True,NOI,2001-04-09 11:50:54
11,9100017,5,provie verfication of the tank's piping material  ,2000-06-21,True,NOI,2001-04-09 11:50:54
12,9100017,5,need to submit the manfu maintenance schedule for work done on 10/18/1999  ,2000-06-21,False,NOI,2001-04-09 11:50:54
13,9100017,5,need attachment showing the tanks that aare covered by TOSCO fin resp document  ,2000-06-21,False,NOI,2001-04-09 11:50:54
14,9100017,5,need to provixde certification stating that the tanks spill buckets have been cleaned  ,2000-06-21,False,NOI,2001-04-09 11:50:54
15,9100017,5,need to document and mainta8n records of all work done to your vrtls350  ,,False,NOI,2001-04-09 11:50:54
16,9100017,5,NEEd TO MONITOR YOUR UST SYSTEM EVERY 30 DAys  ,,False,NOI,2001-04-09 11:50:54
17,9707389,1814,2. Provide copy of cert of FR Received on 5/15/2003 ,2003-05-26,True,NOI,2003-05-12 00:00:00
18,9707389,1814,FYI - Remember to monitor tanks every 30 days. FYI -- One month 30 days ,,False,NOI,2003-05-12 00:00:00
19,9601304,1815,1.  Provide copy of cert of FR Waiting     6/6/2003 REC THE CERT OF FR = RK ,2003-06-13,True,NOI,2003-05-13 00:00:00
20,9201116,1820,2.  Provide copy of may leak detection. received 5/9/2003 ,2003-05-09,True,NOI,2003-05-09 00:00:00
21,9201116,1820,1.  Provide copy of annual maintanance. It was done on 5/6/2003.  Waiting for copy. ,,True,NOI,2003-05-09 00:00:00
22,9707570,1821,2.  Provide copy of leak detection between      4/2002 and 9/2003 Received. ,2003-05-09,True,NOI,2003-05-08 00:00:00
23,9707570,1821,1.  Provide copy of Veeder Root Checklist Veeder Root checklist came in but not filled out. ,2003-06-08,True,NOI,2003-05-08 00:00:00
24,9707570,1821,3.  Provide copy of cert of FR Will send in after June 6th.  on Vacation now. ,2003-05-18,True,NOI,2003-05-08 00:00:00
25,9202509,1822,1.  Provide copy of cert of FR Received 5/9 /2003 ,2003-06-09,True,NOI,2003-05-09 00:00:00
26,9201816,1823,FYI - PLEASE REMEMBER TO MONITOR INTERSTITIAL SENSOR FOR LINES EVERY 30 DAYS. FYI - PLEASE REMEMBER TO MONITOR INTERSTITIAL SENSOR FOR LINES EVERY 30 DAYS. ,,False,NOI,2003-05-07 00:00:00
27,9201816,1823,Need to ammend tank notification. 5/28/2003 FAX THE REQUEST FOR THE CHANGES - RK  11/17/2003 REC APPENDIX I.  does not need to write a noi letter - rk ,2003-06-07,True,NOI,2003-05-07 00:00:00
28,9201854,2251,pls change fr  to reflect 11-281 Sub chapter 9  ,2002-12-19,True,NOI,2002-11-19 00:00:00
29,9201854,2251,pls submit fr document to address 11-281-111  ,2002-12-19,True,NOI,2002-11-19 00:00:00
30,9101440,2252,fyi -- change language to address 11-281-98(b)(2) for january 2003 FYI -- REFLECT THE STATE REGS - RK ,,False,NOI,2002-11-20 00:00:00
31,9101440,2252,pls prvide corrosion protection for pipes  ,2002-12-20,True,NOI,2002-11-20 00:00:00
32,9101440,2252,need safe suction letter  ,2002-12-20,True,NOI,2002-11-20 00:00:00
33,9101440,2252,submit proof of annual maintenance for leak alert system  ,2002-12-20,True,NOI,2002-11-20 00:00:00
34,9100056,2253,fyi -- need to initial the continous monitoring log FYI ,,False,NOI,2002-11-22 00:00:00
35,9100056,2253,fyi -- need to maintain the vr strips in a more organized manner FYI ,,False,NOI,2002-11-22 00:00:00
36,9100056,2253,"fyi -- remove water from spill buctes of ust 1,2,3 FYI ",,False,NOI,2002-11-22 00:00:00
37,9201209,2255,FYI -- clean spill buckets FYI ,,False,NOI,2002-12-18 00:00:00
38,9201209,2255,FYI -- address fr paperwork FYI ,,False,NOI,2002-12-18 00:00:00
39,9202938,2256,doc for 11-281-111  ,2002-01-03,True,NOI,2002-12-03 00:00:00
40,9202938,2256,Fyi -- doc for 11-281-98(b)(1) state lang FYI ,,False,NOI,2002-12-03 00:00:00
41,9202938,2256,doc for faill report on 6-26-2002  ,2002-01-03,True,NOI,2002-12-03 00:00:00
42,9202938,2256,FYI -- ensure that sump sensors remain in the lowest point of the sump FYI ,,False,NOI,2002-12-03 00:00:00
43,9201109,2259,fyi -- RECOMMENDED THE USED OIL TANK HAS A LIQUID TIGHT SPILL BUCKET AT THE EXTERNAL FILL/REMOVAL IPIE FYI ,,False,NOI,2002-12-18 00:00:00
44,9201109,2259,fyi -- CLEAN SPILL BUCKET FYI ,,False,NOI,2002-12-18 00:00:00
45,9201109,2259,SUBMIT PAPERWORK PERTAINIG TOTHE PIPE SUMP SLEEVES  ,2003-01-18,True,NOI,2002-12-18 00:00:00
46,9201109,2259,fyi -- ADDRESS THE FR PAPERWORK FYI ,,False,NOI,2002-12-18 00:00:00
47,9201025,2260,ADDRESS 3RD PARTY QUESTION:  SIMPLICITY AT 50-95% OR IS IT THE CSLD FROM 5 TO 95%  ,2003-01-19,True,NOI,2002-12-19 00:00:00
48,9201025,2260,SEND UPDATED FR FOR ENSORSEMENT IAW   11-281-98(B)(1)  ,2003-01-19,True,NOI,2002-12-19 00:00:00
49,9201025,2260,INCLUDE DOCUMENTATION THAT ADDRESS 11-281-111  ,2003-01-19,True,NOI,2002-12-19 00:00:00
50,9100914,2261,3.  Please send copy of financial responsability packet.  HAR 11-281-96 1/27/2003 received fax - rk ,2003-01-17,True,NOI,2003-01-03 00:00:00
51,9100914,2261,2.  Send documentation in regards to changes in the insurance forms as referred to in the letter from Bob Chaplan dated 12/31/2002  HAR 11-281-96 1/27/2003 received fax - rk ,2003-01-17,True,NOI,2003-01-03 00:00:00
52,9100914,2261,1.  fix small leak in tank 2 in the piping sump as required by HAR 11-281-64 1/16/2003 rec fax letter - rk ,2003-01-17,True,NOI,2003-01-03 00:00:00
53,9100833,2262,2.  Provide changes to the language of the insurance endorsment.  HAR  11-281-98(b)(1) 2/25/2003 WAITING FOR BOB'S OK - RK ,2003-02-02,True,NOI,2003-01-02 00:00:00
54,9100833,2262,1.  Provide copy of financial insurance certificate.  HAR 11-281-111(b)(10) 2/25/2003 WAITING FOR BOB'S OK - RK ,2003-02-02,True,NOI,2003-01-02 00:00:00
55,9101172,2263,1.  Send documentation to prove annual maintanance was done. (Why was there no allarm set off).  HAR 11-281-54(b)(3) 7/11/2003 REC THE NOI INFORMATION - RK ,2003-01-11,True,NOI,2002-12-26 00:00:00
56,9101172,2263,3.  Send engeneer letter and plans for cathodic protection.  HAR 11-281-13(2)(b) 7/11/2003 REC THE NOI INFORMATION - RK ,2003-01-11,True,NOI,2002-12-26 00:00:00
57,9101172,2263,2.  Send documentation regarding third party documentation for the vaporless ALLD.  HAR 11-281-51(a)(2) 7/11/2003 REC THE NOI INFORMATION - RK ,2003-01-11,True,NOI,2002-12-26 00:00:00
58,9101172,2263,5.  Send 6 month Documentation for cathodic protection.  HAR  11-281-42(a)(2)(A) 7/11/2003 REC THE NOI INFORMATION - RK ,2003-01-11,True,NOI,2002-12-26 00:00:00
59,9101172,2263,4.  Send record to document 60 days corrosion protection test.  Why was reading 34 instead of 26.  HAR 11-281-42(a)(2)(A) 7/11/2003 REC THE NOI INFORMATION - RK ,2003-01-11,True,NOI,2002-12-26 00:00:00
60,9203150,2264,"fyi -- ust monitored every 30 days fyi, ok ",,True,NOI,2002-04-24 00:00:00
61,9203150,2264,"fyi -- fin resp lang fyi, ok ",,True,NOI,2002-04-24 00:00:00
62,9101189,2265,fyi -- spill bucket remain liquid free fyi ,,False,NOI,2002-06-21 00:00:00
63,9101189,2265, fyi -- annual maintenance done iaw mfg checklist fyi ,,False,NOI,2002-06-21 00:00:00
64,9101189,2265,fyi -- pls change fr lang fyi ,,False,NOI,2002-06-21 00:00:00
65,9707238,2267,"VISITED SITE BUT WAS UNABLE TO CHECK OVERFILL PROTECTION ON UST 1, 2, 3.  NEED TO CONTACT FACILITY REPRESENTATIVE AND REQUEST INFORMATION - GKO 11/9/2006 sent email to roy to check if there was any followup by greg - rk ",2002-10-27,False,NOI,2002-09-27 00:00:00
